
2021/10/16 (16:05:35) | ===> btop++ v.1.0.16
2021/10/16 (16:05:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/16 (16:18:42) | ===> btop++ v.1.0.16
2021/10/16 (16:18:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/16 (16:18:51) | ===> btop++ v.1.0.16
2021/10/16 (16:18:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/16 (16:18:54) | ===> btop++ v.1.0.16
2021/10/16 (16:18:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/16 (16:20:09) | ===> btop++ v.1.0.16
2021/10/16 (16:20:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/16 (16:20:55) | ===> btop++ v.1.0.16
2021/10/16 (16:20:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/16 (16:20:59) | ===> btop++ v.1.0.16
2021/10/16 (16:20:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/16 (16:21:16) | ===> btop++ v.1.0.16
2021/10/16 (16:21:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/26 (15:13:41) | ===> btop++ v.1.0.16
2021/10/26 (15:13:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/27 (18:37:41) | ===> btop++ v.1.0.16
2021/10/27 (18:37:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/27 (18:38:01) | ===> btop++ v.1.0.16
2021/10/27 (18:38:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/27 (18:38:05) | ===> btop++ v.1.0.16
2021/10/27 (18:38:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/27 (18:38:12) | ===> btop++ v.1.0.16
2021/10/27 (18:38:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/27 (18:40:18) | ===> btop++ v.1.0.16
2021/10/27 (18:40:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/27 (18:41:08) | ===> btop++ v.1.0.16
2021/10/27 (18:41:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/27 (18:44:36) | ===> btop++ v.1.0.16
2021/10/27 (18:44:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/27 (18:45:14) | ===> btop++ v.1.0.16
2021/10/27 (18:45:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/08 (15:28:44) | ===> btop++ v.1.0.16
2021/11/08 (15:28:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/23 (18:14:35) | ===> btop++ v.1.0.16
2021/11/23 (18:14:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
